transaction_id,customer_id,amount,transaction_type,bank,merchant_id,status,timestamp,is_delayed,emi_overdue,settlement_status
TXN0000001,CUST6783,3594.2,Merchant Payment,HDFC,,Success,2023-01-01 00:00:00,0,0,Settled
TXN0000002,CUST4161,5901.82,UPI Transfer,Axis,,Success,2023-01-01 01:00:00,0,0,Settled
TXN0000003,CUST9175,8568.77,UPI Transfer,HDFC,MER478,Success,2023-01-01 02:00:00,0,0,Settled
TXN0000004,CUST5629,916.48,Utility Bill,SBI,MER231,Success,2023-01-01 03:00:00,0,0,Settled
TXN0000005,CUST7901,3101.65,UPI Transfer,ICICI,MER671,Success,2023-01-01 04:00:00,0,0,Pending
TXN0000006,CUST3297,285.51,Merchant Payment,HDFC,MER955,Success,2023-01-01 05:00:00,0,0,Settled
TXN0000007,CUST6450,447.98,Utility Bill,HDFC,MER717,Success,2023-01-01 06:00:00,0,0,Settled
TXN0000008,CUST8290,3718.04,EMI Debit,SBI,MER949,Pending,2023-01-01 07:00:00,0,0,N/A
TXN0000009,CUST5944,2333.32,EMI Debit,SBI,,Success,2023-01-01 08:00:00,1,0,Settled
TXN0000010,CUST6318,4970.67,EMI Debit,HDFC,,Success,2023-01-01 09:00:00,0,0,Settled
TXN0000011,CUST4807,1940.97,UPI Transfer,Axis,,Success,2023-01-01 10:00:00,1,0,Pending
TXN0000012,CUST1012,477.77,Refund,HDFC,MER403,Success,2023-01-01 11:00:00,1,0,Settled
TXN0000013,CUST5034,7196.5,Utility Bill,Axis,MER385,Success,2023-01-01 12:00:00,0,0,Settled
TXN0000014,CUST6530,302.84,UPI Transfer,ICICI,,Success,2023-01-01 13:00:00,0,0,Settled
TXN0000015,CUST4433,733.05,Utility Bill,Kotak,,Success,2023-01-01 14:00:00,0,0,Settled
TXN0000016,CUST5633,1135.1,Merchant Payment,ICICI,MER150,Success,2023-01-01 15:00:00,0,0,Settled
TXN0000017,CUST3051,18746.26,EMI Debit,HDFC,MER464,Success,2023-01-01 16:00:00,0,0,Settled
TXN0000018,CUST4876,1887.65,UPI Transfer,HDFC,,Success,2023-01-01 17:00:00,0,0,Pending
TXN0000019,CUST6908,2438.0,Merchant Payment,Axis,MER579,Success,2023-01-01 18:00:00,1,0,Settled
TXN0000020,CUST7130,5139.25,UPI Transfer,SBI,,Success,2023-01-01 19:00:00,0,0,Settled
TXN0000021,CUST7427,3541.1,Merchant Payment,Axis,MER441,Success,2023-01-01 20:00:00,0,0,Settled
TXN0000022,CUST2823,6445.25,UPI Transfer,SBI,,Success,2023-01-01 21:00:00,0,0,Settled
TXN0000023,CUST4430,2332.31,Merchant Payment,SBI,,Success,2023-01-01 22:00:00,0,0,Settled
TXN0000024,CUST3740,12536.71,EMI Debit,SBI,MER217,Success,2023-01-01 23:00:00,0,0,Settled
TXN0000025,CUST2788,5577.69,Utility Bill,SBI,,Success,2023-01-02 00:00:00,0,0,Settled
TXN0000026,CUST2952,1795.86,UPI Transfer,HDFC,,Success,2023-01-02 01:00:00,0,0,Settled
TXN0000027,CUST4420,1680.31,Utility Bill,Kotak,,Failed,2023-01-02 02:00:00,0,1,N/A
TXN0000028,CUST4027,9282.06,Merchant Payment,Kotak,MER128,Success,2023-01-02 03:00:00,0,0,Settled
TXN0000029,CUST4101,4036.65,Utility Bill,ICICI,MER716,Success,2023-01-02 04:00:00,0,0,Settled
TXN0000030,CUST6873,3399.77,Merchant Payment,ICICI,,Success,2023-01-02 05:00:00,0,0,Settled
TXN0000031,CUST4588,4963.41,Utility Bill,ICICI,MER717,Pending,2023-01-02 06:00:00,0,0,N/A
TXN0000032,CUST4845,2880.07,EMI Debit,Axis,,Failed,2023-01-02 07:00:00,0,0,N/A
TXN0000033,CUST6737,606.77,Merchant Payment,ICICI,MER530,Success,2023-01-02 08:00:00,0,0,Settled
TXN0000034,CUST2417,1345.78,UPI Transfer,ICICI,,Success,2023-01-02 09:00:00,0,0,Settled
TXN0000035,CUST4909,2857.12,Refund,ICICI,,Success,2023-01-02 10:00:00,0,1,Pending
TXN0000036,CUST5745,64.17,Utility Bill,HDFC,MER142,Success,2023-01-02 11:00:00,0,0,Settled
TXN0000037,CUST3772,2012.85,Merchant Payment,ICICI,MER589,Success,2023-01-02 12:00:00,0,0,Settled
TXN0000038,CUST6175,4934.23,UPI Transfer,Kotak,MER910,Success,2023-01-02 13:00:00,0,0,Settled
TXN0000039,CUST7275,627.92,EMI Debit,HDFC,,Success,2023-01-02 14:00:00,0,1,Settled
TXN0000040,CUST3249,233.58,Refund,SBI,MER268,Success,2023-01-02 15:00:00,0,0,Settled
TXN0000041,CUST4858,6328.23,UPI Transfer,Axis,,Success,2023-01-02 16:00:00,0,1,Settled
TXN0000042,CUST2625,3361.52,Utility Bill,HDFC,,Success,2023-01-02 17:00:00,0,0,Settled
TXN0000043,CUST3749,680.01,UPI Transfer,HDFC,,Success,2023-01-02 18:00:00,0,1,Settled
TXN0000044,CUST3605,5745.15,Refund,Kotak,MER395,Success,2023-01-02 19:00:00,0,0,Settled
TXN0000045,CUST2847,3756.63,EMI Debit,ICICI,MER836,Success,2023-01-02 20:00:00,0,0,Pending
TXN0000046,CUST8207,1423.26,UPI Transfer,SBI,MER398,Success,2023-01-02 21:00:00,0,0,Settled
TXN0000047,CUST9770,1651.72,UPI Transfer,Kotak,,Failed,2023-01-02 22:00:00,0,0,N/A
TXN0000048,CUST2136,593.15,Merchant Payment,Kotak,,Success,2023-01-02 23:00:00,0,0,Settled
TXN0000049,CUST4133,6311.76,Merchant Payment,HDFC,,Success,2023-01-03 00:00:00,0,1,Settled
TXN0000050,CUST2157,2489.64,Utility Bill,SBI,,Success,2023-01-03 01:00:00,0,0,Pending
TXN0000051,CUST8452,2849.8,EMI Debit,Kotak,MER738,Success,2023-01-03 02:00:00,0,0,Settled
TXN0000052,CUST8275,7524.28,Merchant Payment,Axis,MER306,Success,2023-01-03 03:00:00,0,0,Settled
TXN0000053,CUST6413,55.85,Refund,Axis,,Success,2023-01-03 04:00:00,0,0,Settled
TXN0000054,CUST5372,242.44,Merchant Payment,Kotak,,Success,2023-01-03 05:00:00,0,0,Settled
TXN0000055,CUST6611,616.82,Utility Bill,HDFC,MER230,Success,2023-01-03 06:00:00,0,0,Settled
TXN0000056,CUST2586,106.74,Utility Bill,Axis,MER445,Success,2023-01-03 07:00:00,0,0,Pending
TXN0000057,CUST3323,3756.9,Utility Bill,HDFC,,Success,2023-01-03 08:00:00,0,0,Settled
TXN0000058,CUST1233,3516.77,UPI Transfer,ICICI,MER838,Pending,2023-01-03 09:00:00,0,0,N/A
TXN0000059,CUST8916,828.58,Merchant Payment,ICICI,,Success,2023-01-03 10:00:00,0,0,Settled
TXN0000060,CUST1031,566.37,Merchant Payment,HDFC,MER202,Success,2023-01-03 11:00:00,0,0,Settled
TXN0000061,CUST9951,551.09,Merchant Payment,Kotak,MER810,Success,2023-01-03 12:00:00,0,0,Settled
TXN0000062,CUST4203,10719.65,Merchant Payment,ICICI,MER798,Success,2023-01-03 13:00:00,1,0,Settled
TXN0000063,CUST6894,4138.93,Utility Bill,ICICI,,Success,2023-01-03 14:00:00,0,0,Settled
TXN0000064,CUST2794,3081.79,UPI Transfer,Axis,,Success,2023-01-03 15:00:00,0,0,Settled
TXN0000065,CUST1761,1362.64,Merchant Payment,Kotak,MER815,Success,2023-01-03 16:00:00,0,0,Settled
TXN0000066,CUST5080,1986.15,UPI Transfer,HDFC,,Success,2023-01-03 17:00:00,1,1,Settled
TXN0000067,CUST1281,327.8,UPI Transfer,ICICI,MER824,Success,2023-01-03 18:00:00,0,0,Settled
TXN0000068,CUST5071,22027.57,EMI Debit,Kotak,MER699,Success,2023-01-03 19:00:00,0,0,Settled
TXN0000069,CUST5625,4923.96,UPI Transfer,ICICI,MER219,Success,2023-01-03 20:00:00,0,0,Settled
TXN0000070,CUST6978,3399.95,UPI Transfer,Axis,MER228,Success,2023-01-03 21:00:00,0,1,Settled
TXN0000071,CUST5559,3101.58,Merchant Payment,Kotak,,Success,2023-01-03 22:00:00,0,1,Settled
TXN0000072,CUST2470,2456.35,UPI Transfer,SBI,MER706,Success,2023-01-03 23:00:00,0,0,Settled
TXN0000073,CUST4287,1041.72,UPI Transfer,Axis,MER455,Success,2023-01-04 00:00:00,0,0,Settled
TXN0000074,CUST5259,898.41,Utility Bill,HDFC,MER537,Success,2023-01-04 01:00:00,1,0,Settled
TXN0000075,CUST6706,2791.14,Utility Bill,Kotak,MER327,Success,2023-01-04 02:00:00,0,0,Settled
TXN0000076,CUST1510,254.75,UPI Transfer,ICICI,,Success,2023-01-04 03:00:00,0,0,Settled
TXN0000077,CUST8961,270.86,UPI Transfer,Kotak,MER855,Success,2023-01-04 04:00:00,0,0,Settled
TXN0000078,CUST9746,2879.91,Refund,HDFC,,Success,2023-01-04 05:00:00,0,0,Settled
TXN0000079,CUST7784,8831.84,UPI Transfer,Kotak,,Success,2023-01-04 06:00:00,0,0,Settled
TXN0000080,CUST6493,8598.01,Merchant Payment,ICICI,,Success,2023-01-04 07:00:00,0,0,Pending
TXN0000081,CUST1258,38.11,Merchant Payment,Axis,MER864,Success,2023-01-04 08:00:00,0,0,Pending
TXN0000082,CUST7588,397.64,EMI Debit,Axis,MER193,Pending,2023-01-04 09:00:00,0,0,N/A
TXN0000083,CUST2665,3061.99,Refund,ICICI,MER833,Success,2023-01-04 10:00:00,0,1,Settled
TXN0000084,CUST2865,6604.53,Merchant Payment,SBI,MER353,Success,2023-01-04 11:00:00,0,0,Settled
TXN0000085,CUST1765,10811.24,Merchant Payment,SBI,MER105,Success,2023-01-04 12:00:00,0,0,Settled
TXN0000086,CUST9256,6895.98,EMI Debit,Axis,MER832,Success,2023-01-04 13:00:00,0,0,Settled
